Voltage(V),Current(A),PD Current(A),J (mA/cm2),L (cd/m2),Cur Eff (cd/A),Power Eff (lm/W),EQE(%),CIE X,CIE Y,Wav (nm),Intensity (au)
-6.0,0.0007156,1.928e-10,17.89,0.007153,3.998e-05,-2.09e-05,4.22e-05,0.6987,0.2984,377.2,8.925e-07
-5.8,0.0006679,2.035e-10,16.7,0.007549,4.521e-05,-2.45e-05,4.772e-05,,,377.5,2.231e-06
-5.59,0.0006123,1.512e-10,15.31,0.005608,3.664e-05,-2.06e-05,3.867e-05,,,377.9,8.48e-06
-5.39,0.0005489,1.342e-10,13.72,0.004979,3.628e-05,-2.11e-05,3.829e-05,,,378.3,1.25e-05
-5.19,0.0004787,1.403e-10,11.97,0.005205,4.349e-05,-2.63e-05,4.59e-05,,,378.6,1.384e-05
-4.98,0.0004265,1.784e-10,10.66,0.006619,6.207e-05,-3.91e-05,6.552e-05,,,379.0,3.124e-06
-4.78,0.000374,1.915e-10,9.351,0.007105,7.598e-05,-4.99e-05,8.02e-05,,,379.4,4.464e-06
-4.58,0.0003525,1.959e-10,8.813,0.007268,8.248e-05,-5.66e-05,8.705e-05,,,379.7,1.518e-05
-4.37,0.0003472,1.353e-10,8.681,0.00502,5.783e-05,-4.15e-05,6.104e-05,,,380.1,8.925e-07
-4.17,0.0003806,1.381e-10,9.514,0.005122,5.384e-05,-4.05e-05,5.682e-05,,,380.4,8.034e-06
-3.97,0.0003608,1.355e-10,9.02,0.005026,5.572e-05,-4.41e-05,5.881e-05,,,380.8,5.357e-06
-3.76,0.0003699,1.534e-10,9.248,0.005689,6.151e-05,-5.13e-05,6.492e-05,,,381.2,8.927e-06
-3.56,0.0003407,1.425e-10,8.518,0.005285,6.205e-05,-5.47e-05,6.549e-05,,,381.5,4.91e-06
-3.36,0.0003227,1.556e-10,8.068,0.00577,7.152e-05,-6.69e-05,7.549e-05,,,381.9,1.339e-06
-3.15,0.0003308,2.151e-10,8.269,0.007978,9.648e-05,-9.61e-05,0.0001018,,,382.2,3.57e-06
-2.95,0.000294,1.632e-10,7.35,0.006052,8.235e-05,-8.77e-05,8.691e-05,,,382.6,8.034e-06
-2.75,0.000268,1.349e-10,6.7,0.005006,7.471e-05,-8.54e-05,7.886e-05,,,383.0,2.231e-06
-2.54,0.0002292,1.392e-10,5.73,0.005164,9.012e-05,-0.000111,9.512e-05,,,383.3,1.25e-05
-2.34,0.0002264,1.679e-10,5.66,0.006229,0.0001101,-0.000148,0.0001162,,,383.7,1.785e-05
-2.14,0.0001993,1.93e-10,4.981,0.007159,0.0001437,-0.000211,0.0001517,,,384.0,8.034e-06
-1.93,0.0001623,1.686e-10,4.058,0.006252,0.0001541,-0.00025,0.0001626,,,384.4,2.231e-06
-1.73,0.000133,1.617e-10,3.324,0.006,0.0001805,-0.000328,0.0001905,,,384.8,7.588e-06
-1.53,0.0001079,1.864e-10,2.696,0.006915,0.0002565,-0.000528,0.0002707,,,385.1,4.91e-06
