date, pm25, pm10, o3, no2, so2, co
2025/4/1, 27, 4, 37, 7, 1, 2
2025/4/2, 16, 5, 32, 11, 1, 2
2025/4/3, 21, 6, 39, 12, 1, 3
2025/4/4, 31, 9, 39, 9, 1, 2
2025/4/5, 34, 9, 42, 12, 1, 2
2025/4/6, 28, 11, 41, 9, 1, 2
2025/4/7, 36, 14, 46, 14, 2, 3
2025/4/8, 47, 13, 53, 11, 2, 3
2025/4/9, 46, 17, 50, 15, 2, 3
2025/4/10, 50, 16, 40, 17, 1, 3
2025/4/11, 58, 13, 48, 7, 1, 3
2025/4/12, 45, 12, 40, 4, 1, 3
2025/4/13, 39, , , , , 
2025/1/1, 23, 9, 28, 16, , 3
2025/1/2, 33, 6, 24, 5, , 1
2025/1/3, 21, 5, 27, 6, , 2
2025/1/4, 20, 10, 19, 17, , 4
2025/1/5, 45, 16, 20, 22, 1, 3
2025/1/6, 69, 8, 24, 20, 1, 3
2025/1/7, 31, 5, 22, 13, 1, 2
2025/1/8, 21, 7, 26, 11, 1, 2
2025/1/9, 30, 4, 27, 9, 1, 2
2025/1/10, 19, 5, 29, 13, 1, 3
2025/1/11, 18, 10, 20, 12, 1, 2
2025/1/12, 45, 7, 32, 9, 1, 1
2025/1/13, 30, 13, 20, 32, 1, 4
2025/1/14, 52, 11, 30, 22, , 3
2025/1/15, 43, 7, 21, 15, 4, 2
2025/1/16, 32, 8, 28, 13, 1, 3
2025/1/17, 29, 8, 28, 10, 1, 2
2025/1/18, 32, 15, 25, 15, 1, 2
2025/1/19, 63, 16, 25, 28, 1, 3
2025/1/20, 69, 12, 29, 12, 1, 2
2025/1/21, 52, 12, 33, 14, 1, 1
2025/1/22, 47, 17, 17, 35, 3, 4
2025/1/23, 65, 16, 32, 18, 1, 3
2025/1/24, 64, 9, 26, 11, 1, 2
2025/1/25, 42, 3, 34, 5, 1, 1
2025/1/26, 11, 9, 22, 23, 2, 3
2025/1/27, 34, 15, 28, 23, 1, 3
2025/1/28, 60, 8, 30, 10, 1, 2
2025/1/29, 31, 6, 29, 15, 1, 3
2025/1/30, 25, 5, 32, 8, 1, 2
2025/1/31, 22, 10, 29, 13, 2, 2
2025/2/1, 42, 10, 29, 7, 1, 2
2025/2/2, 50, 13, 16, 22, 1, 3
2025/2/3, 59, 8, 29, 12, 1, 3
2025/2/4, 31, 5, 30, 9, 1, 2
2025/2/5, 16, 6, 29, 10, 1, 2
2025/2/6, 22, 8, 32, 12, 1, 2
2025/2/7, 30, 5, 31, 5, 1, 1
2025/2/8, 17, 4, 33, 4, 1, 1
2025/2/9, 12, 6, 25, 15, 1, 3
2025/2/10, 30, 7, 34, 7, 1, 1
2025/2/11, 24, 10, 30, 16, 1, 1
2025/2/12, 37, 11, 33, 10, 1, 1
2025/2/13, 32, 8, 28, 11, 1, 1
2025/2/14, 28, 11, 30, 15, 1, 2
2025/2/15, 34, 14, 36, 12, 1, 2
2025/2/16, 49, 12, 34, 11, , 1
2025/2/17, 41, 6, 30, 6, 1, 2
2025/2/18, 20, 5, 31, 5, 1, 
2025/2/19, 12, 4, 32, 7, 1, 2
2025/2/20, 17, 6, 31, 9, 1, 2
2025/2/21, 22, 5, 33, 6, 1, 2
2025/2/22, 21, 4, 35, 5, 1, 2
2025/2/23, 13, 7, 36, 5, 1, 2
2025/2/24, 25, 9, 33, 15, 1, 2
2025/2/25, 32, 11, 36, 13, 1, 1
2025/2/26, 39, 13, 35, 16, 1, 3
2025/2/27, 52, 23, 27, 30, 1, 4
2025/2/28, 82, 20, 51, 19, 1, 4
2025/3/1, 68, 21, 50, 15, 2, 4
2025/3/2, 71, 10, 42, 10, 1, 1
2025/3/3, 37, 8, 26, 11, 1, 2
2025/3/4, 31, 4, 26, 11, , 2
2025/3/5, 22, 4, 34, 8, , 1
2025/3/6, 17, 5, 36, 5, 1, 1
2025/3/7, 19, 10, 31, 9, 1, 1
2025/3/8, 43, 9, 37, 5, 1, 2
2025/3/9, 42, 10, 33, 11, 2, 1
2025/3/10, 40, 16, 30, 19, 1, 3
2025/3/11, 54, 17, 21, 25, 1, 4
2025/3/12, 81, 16, 33, 14, 1, 3
2025/3/13, 62, 15, 35, 11, 1, 2
2025/3/14, 45, 11, 34, 8, 1, 2
2025/3/15, 39, 7, 28, 6, , 1
2025/3/16, 31, 4, 33, 8, 1, 2
2025/3/17, 16, 8, 34, 9, 1, 1
2025/3/18, 28, 5, 34, 9, 1, 1
2025/3/19, 20, 7, 39, 6, 1, 2
2025/3/20, 20, 18, 42, 18, 1, 2
2025/3/21, 65, 26, 53, 26, 1, 5
2025/3/22, 70, 20, 56, 11, 1, 3
2025/3/23, 61, 20, 42, 16, 1, 2
2025/3/24, 58, 31, 53, 25, 1, 3
2025/3/25, 84, 39, 55, 10, 1, 3
2025/3/26, 90, 29, 40, 14, 1, 2
2025/3/27, 71, 14, 40, 15, 1, 2
2025/3/28, 42, 6, 35, 5, , 2
2025/3/29, 22, 8, 41, 5, 1, 2
2025/3/30, 29, 7, 33, 5, , 2
2025/3/31, 25, 6, 32, 8, 1, 2
2024/10/1, 37, 17, 32, 21, 1, 
2024/10/2, 47, 10, 26, 12, 1, 
2024/10/3, 25, 11, 12, 13, 1, 
2024/10/4, 22, 14, 6, 20, 1, 
2024/10/5, 19, , , , , 
2024/10/6, 20, , , , , 
2024/10/7, 36, , , , , 
2024/10/8, 16, , , , , 
2024/10/9, 14, , , , , 
2024/10/10, 22, , , , , 
2024/10/11, 45, , , , , 
2024/10/12, 47, , , , , 2
2024/10/13, 40, , , , , 2
2024/10/14, 38, 20, 26, 26, 2, 2
2024/10/15, 45, 19, 23, 19, 1, 2
2024/10/16, 48, 19, 28, 12, 1, 2
2024/10/17, 53, 16, 22, 14, 1, 3
2024/10/18, 45, 13, 27, 15, 1, 3
2024/10/19, 35, 6, 28, 2, 1, 
2024/10/20, 19, 9, 28, 7, 1, 
2024/10/21, 26, 13, 33, 11, , 
2024/10/22, 38, 21, 12, 23, 1, 
2024/10/23, 46, 16, 27, 11, 1, 
2024/10/24, 44, 13, 29, 9, 1, 
2024/10/25, 34, 14, 22, 12, , 
2024/10/26, 44, 21, 15, 11, 1, 
2024/10/27, 56, 10, 23, 10, 1, 
2024/10/28, 28, 10, 25, 7, 1, 
2024/10/29, 26, 6, 30, 7, 1, 
2024/10/30, 16, 11, 26, 14, 2, 3
2024/10/31, 37, 18, 21, 24, 1, 4
2024/11/1, 59, 7, 24, 11, 1, 2
2024/11/2, 25, 10, 36, 5, , 2
2024/11/3, 34, 13, 30, 12, 1, 2
2024/11/4, 43, 16, 29, 13, 1, 3
2024/11/5, 51, 9, 21, 8, 1, 2
2024/11/6, 32, 6, 31, 8, 1, 2
2024/11/7, 23, 10, 29, 9, 1, 3
2024/11/8, 34, 11, 32, 10, 1, 2
2024/11/9, 37, 13, 29, 8, 1, 2
2024/11/10, 50, 15, 20, 16, 1, 3
2024/11/11, 51, 16, 20, 24, 3, 3
2024/11/12, 52, 16, 32, 11, 1, 3
2024/11/13, 50, 20, 23, 12, 1, 3
2024/11/14, 60, 20, 16, 18, 1, 3
2024/11/15, 67, 14, 21, 12, 1, 2
2024/11/16, 50, 12, 32, 11, 2, 3
2024/11/17, 36, 3, 28, 6, 1, 2
2024/11/18, 9, 5, 28, 6, , 1
2024/11/19, 21, 6, 18, 11, 1, 2
2024/11/20, 25, , , , , 3
2024/11/22, 74, 3, , 5, 1, 2
2024/11/23, 13, 5, , 6, 1, 2
2024/11/24, 20, 7, 18, 12, 1, 2
2024/11/25, 28, 13, 18, 20, 1, 3
2024/11/26, 54, 13, 24, 18, 1, 3
2024/11/27, 51, 8, 29, 12, , 3
2024/11/28, 28, 7, 26, 12, 1, 3
2024/11/29, 27, 6, 23, 17, 1, 3
2024/11/30, 22, 7, 25, 13, 5, 3
2024/12/1, 25, 10, 21, 18, 1, 3
2024/12/2, 34, 19, 10, 39, 3, 5
2024/12/3, 71, 16, 28, 21, 1, 3
2024/12/4, 57, 10, 21, 18, 1, 3
2024/12/5, 33, 7, 28, 13, 1, 2
2024/12/6, 21, 5, 23, 12, 1, 2
2024/12/7, 19, 4, 28, 6, 1, 1
2024/12/8, 11, 5, 25, 9, 1, 2
2024/12/9, 15, 9, 20, 20, 1, 2
2024/12/10, 34, 8, 27, 15, 1, 2
2024/12/11, 28, 4, 27, 6, , 1
2024/12/12, 12, 14, 20, 26, 1, 3
2024/12/13, 53, 9, 30, 11, 1, 3
2024/12/14, 30, 6, 25, 11, 2, 2
2024/12/15, 20, 10, 19, 26, 2, 3
2024/12/16, 37, 12, 17, 28, 2, 4
2024/12/17, 57, , 24, , 1, 3
2024/12/18, 40, 6, 26, 9, 1, 1
2024/12/19, 23, 10, 17, 26, 1, 3
2024/12/20, 39, 12, 25, 22, 1, 5
2024/12/21, 47, 4, 28, 6, 1, 2
2024/12/22, 16, 6, 26, 15, 1, 2
2024/12/23, 24, 5, 29, 12, 1, 2
2024/12/24, 20, 11, 29, 19, 2, 2
2024/12/25, 42, 14, 27, 26, 1, 3
2024/12/26, 58, 4, 25, 10, 1, 2
2024/12/27, 17, 5, 25, 12, 1, 2
2024/12/28, 20, 5, 27, 8, 1, 1
2024/12/29, 19, , , , , 
2024/7/1, 27, 22, 41, 18, 1, 3
2024/7/2, 48, 26, 59, 18, 3, 4
2024/7/3, 61, 33, 64, 17, 1, 3
2024/7/4, 74, 26, 32, 16, 1, 3
2024/7/5, 58, 35, 81, 10, 1, 3
2024/7/6, 75, 33, 64, 18, 1, 3
2024/7/7, 71, 39, 78, 28, 2, 3
2024/7/8, 79, 32, 31, 15, 1, 6
2024/7/9, 71, 19, 42, 18, 1, 3
2024/7/10, 51, 15, 26, 9, 1, 2
2024/7/11, 35, 11, 28, 13, 1, 2
2024/7/12, 30, 15, 45, 12, 1, 3
2024/7/13, 39, 15, 35, 8, 1, 2
2024/7/14, 35, 20, 45, 4, 1, 2
2024/7/15, 43, 22, 40, 9, 1, 5
2024/7/16, 52, 18, 66, 14, 1, 7
2024/7/17, 43, 22, 52, 19, 2, 3
2024/7/18, 53, 15, 15, 13, 1, 2
2024/7/19, 38, 26, 38, 12, 1, 2
2024/7/20, 60, 22, 65, 12, 2, 3
2024/7/21, 59, 29, 68, 12, 2, 2
2024/7/22, 67, 23, 55, 20, 1, 3
2024/7/23, 55, 21, 44, 14, 1, 3
2024/7/24, 48, 21, 43, 18, 1, 11
2024/7/25, 52, 20, 40, 19, 1, 3
2024/7/26, 46, 25, 82, 16, 3, 9
2024/7/27, 59, 18, 41, 6, 1, 2
2024/7/28, 50, 16, 46, 14, 1, 2
2024/7/29, 43, 15, 34, 11, 1, 5
2024/7/30, 40, 18, 51, 9, 1, 5
2024/7/31, 48, 14, 34, 7, 1, 2
2024/8/1, 38, 19, 41, 8, 2, 2
2024/8/2, 49, 24, 72, 15, 3, 3
2024/8/3, 62, 21, 83, 14, 3, 3
2024/8/4, 53, 18, 81, 19, 3, 3
2024/8/5, 47, 16, 37, 10, 3, 2
2024/8/6, 42, 12, 27, 8, 1, 12
2024/8/7, 32, 13, 35, 11, 2, 5
2024/8/8, 34, 10, 26, 5, 2, 1
2024/8/9, 26, 15, 25, 7, 4, 2
2024/8/10, 39, 20, 64, 8, 1, 2
2024/8/11, 52, 19, 43, 9, 1, 2
2024/8/12, 53, 29, 34, 13, 1, 2
2024/8/13, 70, 20, 38, 11, 2, 2
2024/8/14, 51, 13, 22, 7, 1, 1
2024/8/15, 34, 10, 11, 3, , 
2024/8/16, 28, 15, 17, 10, , 2
2024/8/17, 42, 21, 30, 8, , 2
2024/8/18, 63, 15, 23, 12, 1, 2
2024/8/19, 49, 23, 36, 16, 2, 2
2024/8/20, 32, , 47, 12, 1, 2
2024/8/21, 50, 26, 17, 17, 3, 2
2024/8/22, 44, 23, 22, 19, 2, 2
2024/8/23, 37, 17, 26, 12, 2, 2
2024/8/24, 35, 14, 18, 9, 1, 1
2024/8/25, 25, 13, 13, 10, 1, 1
2024/8/26, 23, 17, 13, 9, 1, 1
2024/8/27, 27, 21, 13, 13, 1, 2
2024/8/28, 34, 23, 14, 12, 1, 2
2024/8/29, 31, 29, 6, 9, 1, 2
2024/8/30, 21, 35, 19, 13, 1, 2
2024/8/31, 35, 17, , 7, , 2
2024/9/1, 22, , , , , 
2024/9/2, 32, , , , , 
2024/9/3, 33, 10, , 10, , 
2024/9/4, 31, 13, , 16, 3, 
2024/9/5, 39, 20, 78, 22, 1, 
2024/9/6, 54, 27, 63, 24, 1, 
2024/9/7, 76, 17, 54, 13, 1, 
2024/9/8, 62, 12, 23, 12, 2, 
2024/9/9, 33, 9, 14, 13, 2, 
2024/9/10, 29, 10, 14, 15, 1, 
2024/9/11, 29, 11, 5, 15, , 
2024/9/12, 31, 8, , 10, , 
2024/9/13, 25, 9, , 6, , 
2024/9/14, 25, 12, , 4, , 
2024/9/15, 23, , , , , 
2024/9/17, 49, , , , , 
2024/9/18, 44, , , , , 
2024/9/19, 43, , , , , 
2024/9/20, 56, , , , , 
2024/9/21, 35, , , , , 
2024/9/22, 26, , , , , 
2024/9/23, 15, , , , , 
2024/9/24, 22, , , , , 
2024/9/25, 23, 15, 30, 19, 4, 
2024/9/26, 29, 14, 19, 16, 1, 
2024/9/27, 33, 12, 33, 13, 1, 
2024/9/28, 34, 11, 32, 6, 1, 
2024/9/29, 30, 10, 33, 12, 1, 
2024/9/30, 33, 12, 28, 16, 1, 
2024/4/1, 61, 21, 37, 15, 1, 3
2024/4/2, 59, 19, 37, 26, 1, 3
2024/4/3, 60, 9, 39, 18, 1, 3
2024/4/4, 34, 17, 37, 10, 1, 2
2024/4/5, 57, 17, 32, 10, 1, 3
2024/4/6, 64, 13, 42, 11, 2, 3
2024/4/7, 51, 14, 30, 14, 1, 3
2024/4/8, 46, 5, 41, 9, 1, 2
2024/4/9, 16, 10, 37, 7, 1, 2
2024/4/10, 39, 13, 39, 12, 1, 2
2024/4/11, 47, 14, 38, 10, 1, 2
2024/4/12, 45, 13, 43, 8, 1, 2
2024/4/13, 41, 15, 54, 10, 1, 3
2024/4/14, 47, 16, 37, 20, 1, 2
2024/4/15, 52, 15, 39, 15, 1, 2
