date, pm25, pm10, o3, no2, so2, co
2025/4/1, 104, 98, , 14, 3, 4
2025/4/2, 134, 99, , 14, 4, 5
2025/4/3, 150, 129, , 12, 4, 4
2025/4/4, 152, 109, , 10, 3, 3
2025/4/5, 140, 99, , 14, 3, 4
2025/4/6, 140, 73, , 11, 3, 4
2025/4/7, 115, 91, , 10, 3, 4
2025/4/8, 127, 118, , 11, 3, 4
2025/4/9, 162, 117, , 14, 4, 5
2025/4/10, 152, 153, , 11, 3, 5
2025/4/11, 146, 482, , 6, 2, 4
2025/4/12, 248, 138, , 13, 2, 4
2025/4/13, 170, , , , , 
2025/1/1, 163, 76, , 27, 4, 7
2025/1/2, 150, 94, , 29, 5, 9
2025/1/3, 168, 91, , 28, 5, 8
2025/1/4, 171, 77, , 27, 4, 6
2025/1/5, 152, 85, , 29, 4, 7
2025/1/6, 143, 83, , 29, 4, 8
2025/1/7, 155, 70, , 25, 4, 6
2025/1/8, 145, 75, , 29, 4, 7
2025/1/9, 156, 70, , 20, 3, 6
2025/1/10, 136, 60, , 21, 3, 5
2025/1/11, 105, 91, , 20, 3, 5
2025/1/12, 111, 94, , 27, 3, 7
2025/1/13, 158, 72, , 19, 3, 6
2025/1/14, 119, 55, , 18, 3, 4
2025/1/15, 91, 63, , 23, 4, 7
2025/1/16, 134, 92, , 30, 4, 9
2025/1/17, 174, 79, , 21, 4, 5
2025/1/18, 146, 81, , 31, 4, 6
2025/1/19, 157, 93, , 35, 4, 8
2025/1/20, 174, 118, , 30, 5, 10
2025/1/21, 206, 138, , 37, 5, 12
2025/1/22, 240, 140, , 30, 5, 13
2025/1/23, 243, 89, , 16, 2, 10
2025/1/24, 186, 49, , 7, 2, 7
2025/1/25, 98, 87, , 5, 2, 3
2025/1/26, 72, 76, , 8, 2, 5
2025/1/27, 106, 101, , 10, 4, 7
2025/1/28, 165, 206, , 14, 5, 9
2025/1/29, 345, 150, , 14, 3, 9
2025/1/30, 282, 128, , 12, 3, 8
2025/1/31, 245, 125, , 11, 3, 10
2025/2/1, 231, 82, , 9, 3, 8
2025/2/2, 173, 33, , 6, 2, 2
2025/2/3, 57, 45, , 10, 3, 4
2025/2/4, 84, 47, , 10, 2, 4
2025/2/5, 79, 49, , 10, 2, 4
2025/2/6, 87, 106, , 6, 2, 3
2025/2/7, 78, 47, , 9, 3, 3
2025/2/8, 68, 61, , 18, 3, 5
2025/2/9, 116, 73, , 21, 4, 7
2025/2/10, 158, 86, , 20, 3, 7
2025/2/11, 164, 83, , 4, 2, 3
2025/2/12, 80, 71, , 14, 3, 5
2025/2/13, 134, 71, , 17, 3, 6
2025/2/14, 141, 67, , 16, 3, 4
2025/2/15, 108, 83, , 17, 3, 4
2025/2/16, 120, 99, , 22, 4, 6
2025/2/17, 157, 102, , 24, 4, 7
2025/2/18, 168, 101, , 22, 3, 7
2025/2/19, 175, 80, , 15, 2, 7
2025/2/20, 174, 84, , 15, 2, 7
2025/2/21, 179, 92, , 17, 2, 8
2025/2/22, 190, 56, , 12, 3, 6
2025/2/23, 122, 66, , 16, 3, 5
2025/2/24, 150, 65, , 14, 3, 5
2025/2/25, 131, 80, , 26, 4, 6
2025/2/26, 140, 77, , 23, 3, 7
2025/2/27, 159, 81, , 27, 4, 8
2025/2/28, 154, 111, , 26, 3, 9
2025/3/1, 195, 56, , 8, 3, 6
2025/3/2, 101, 24, , 8, 2, 4
2025/3/3, 61, 55, , 11, 2, 4
2025/3/4, 133, 57, , 13, 3, 5
2025/3/5, 139, 66, , 17, 2, 6
2025/3/6, 136, 70, , 14, 3, 5
2025/3/7, 138, 78, , 18, 2, 5
2025/3/8, 120, 72, , 17, 3, 5
2025/3/9, 128, 74, , 18, 3, 6
2025/3/10, 135, 241, , 20, 3, 6
2025/3/11, 159, 191, , 19, 3, 5
2025/3/12, 148, 86, , 14, 3, 5
2025/3/13, 115, 40, , 11, 2, 4
2025/3/14, 82, 50, , 6, 2, 3
2025/3/15, 69, 51, , 7, 2, 2
2025/3/16, 55, 47, , 11, 3, 2
2025/3/17, 78, 48, , 10, 3, 2
2025/3/18, 81, 45, , 15, 3, 3
2025/3/19, 75, 57, , 15, 2, 3
2025/3/20, 89, 68, , 18, 2, 3
2025/3/21, 110, 68, , 18, 2, 4
2025/3/22, 110, 83, , 12, 3, 3
2025/3/23, 111, 65, , 15, 2, 2
2025/3/24, 93, 59, , 17, 3, 3
2025/3/25, 90, 302, , 19, 3, 3
2025/3/26, 171, 203, , 7, 2, 1
2025/3/27, 159, 136, , 9, 2, 2
2025/3/28, 148, 109, , 17, 3, 3
2025/3/29, 148, 103, , 16, 2, 3
2025/3/30, 140, 93, , 11, 3, 4
2025/3/31, 130, 88, , 10, 3, 3
2024/10/1, 49, 47, , 12, 3, 2
2024/10/2, 70, 50, , 12, 3, 2
2024/10/3, 77, 54, , 13, 3, 2
2024/10/4, 85, 86, , 20, 3, 4
2024/10/5, 148, 79, , 15, 3, 4
2024/10/6, 138, 60, , 18, 3, 4
2024/10/7, 111, 95, , 19, 3, 5
2024/10/8, 156, 77, , 14, 3, 4
2024/10/9, 101, 59, , 15, 3, 2
2024/10/10, 74, 86, , 27, 4, 5
2024/10/11, 127, 101, , 30, 3, 6
2024/10/12, 164, 76, , 16, 3, 4
2024/10/13, 133, 58, , 16, 3, 3
2024/10/14, 107, 67, , 17, 3, 4
2024/10/15, 124, 44, , 10, 3, 2
2024/10/16, 76, 69, , 14, 3, 5
2024/10/17, 144, 56, , 11, 3, 3
2024/10/18, 100, 40, , 12, 2, 2
2024/10/19, 58, 36, , 11, 2, 1
2024/10/20, 52, 31, , 10, 2, 2
2024/10/21, 61, 28, , 11, 2, 1
2024/10/22, 47, 45, , 17, 2, 2
2024/10/23, 65, 67, , 21, 3, 3
2024/10/24, 106, 94, , 24, 3, 5
2024/10/25, 156, 60, , 13, 2, 2
2024/10/26, 67, 36, , 12, 2, 1
2024/10/27, 58, 50, , 23, 2, 3
2024/10/28, 83, 81, , 24, 2, 4
2024/10/29, 131, 82, , 22, 2, 5
2024/10/30, 156, 66, , 13, 2, 6
2024/10/31, 127, 73, , 15, 2, 6
2024/11/1, 131, 57, , 14, 3, 4
2024/11/2, 90, 57, , 12, 2, 3
2024/11/3, 96, 51, , 17, 2, 3
2024/11/4, 88, 73, , 19, 3, 4
2024/11/5, 130, 99, , 28, 3, 6
2024/11/6, 164, 106, , 24, 3, 6
2024/11/7, 171, 115, , 25, 3, 6
2024/11/8, 183, 105, , 17, 3, 5
2024/11/9, 165, 95, , 19, 3, 5
2024/11/10, 160, 116, , 17, 3, 6
2024/11/11, 175, 118, , 13, , 7
2024/11/12, 179, 101, , 11, 2, 10
2024/11/13, 166, 61, , 12, 3, 9
2024/11/14, 114, 62, , 13, 3, 6
2024/11/15, 107, 51, , 6, 2, 1
2024/11/16, 56, 14, , 8, 2, 2
2024/11/17, 38, 23, , 9, 2, 3
2024/11/18, 62, 50, , 12, 2, 5
2024/11/19, 120, 42, , 11, 2, 5
2024/11/20, 101, 45, , 13, , 5
2024/11/21, 107, 69, , 19, 3, 7
2024/11/22, 139, 89, , 20, 2, 8
2024/11/23, 176, 83, , 13, 2, 6
2024/11/24, 161, 34, , 7, 2, 2
2024/11/25, 41, 50, , 16, 2, 4
2024/11/26, 71, 77, , 13, 2, 4
2024/11/27, 80, 73, , 12, 2, 4
2024/11/28, 85, 51, , 19, 2, 4
2024/11/29, 90, 48, , 21, 2, 4
2024/11/30, 86, 63, , 25, 4, 6
2024/12/1, 122, 80, , 26, 3, 7
2024/12/2, 159, 87, , 26, 4, 7
2024/12/3, 148, 66, , 19, 4, 5
2024/12/4, 120, 63, , 19, 3, 5
2024/12/5, 121, 62, , 22, 3, 5
2024/12/6, 119, 64, , 22, 3, 5
2024/12/7, 124, 57, , 18, 4, 5
2024/12/8, 95, 69, , 20, 4, 6
2024/12/9, 148, 74, , 19, 3, 6
2024/12/10, 165, 85, , 21, 2, 7
2024/12/11, 175, 85, , 17, 2, 7
2024/12/12, 168, 48, , 11, 2, 4
2024/12/13, 72, 61, , 21, 3, 4
2024/12/14, 117, 53, , 23, 3, 5
2024/12/15, 116, 69, , 29, 3, 7
2024/12/16, 145, 77, , 25, 3, 8
